feature,importance
energy_lag_1,0.3814166770941289
energy_max_6,0.09526040755030962
energy_change_10m,0.08329507191090843
energy_change_30m,0.06394626008243406
energy_mean_6,0.06393421290872242
energy_std_6,0.0421296870684467
energy_lag_2,0.039664459724726306
energy_max_18,0.03516982652434444
energy_std_18,0.018000007124059383
energy_mean_18,0.008958335027040873
energy_lag_3,0.008767052257755082
hour_cos,0.00864502190274674
hour_sin,0.008580513224748777
energy_lag_4,0.006866291195423158
hour,0.006834412819836232
NSM,0.006472432144779635
dow_cos,0.006459849397071727
energy_lag_6,0.006102483438356431
month,0.0045391214017393875
lights_lag1,0.004534255493671241
energy_lag_144,0.004390979062445187
T4_lag1,0.004369111384559799
dow_sin,0.0042006609730202765
T8_lag1,0.004079821951366527
T6_lag1,0.003940045565130704
T3_lag1,0.0038843373790229574
indoor_outdoor_rh_gap,0.0038679927060800176
T7_lag1,0.0037129053464691275
Day_of_week,0.0036563381039439635
RH_2_lag1,0.0036406679863914683
RH_6_lag1,0.00362522680433332
RH_9_lag1,0.0034645334682255205
energy_lag_18,0.0034522682107105593
indoor_outdoor_temp_gap,0.0034325213423192077
indoor_temp_mean,0.003361651032512149
T2_lag1,0.0032906502923572487
T9_lag1,0.0032238443159705982
lights_x_evening,0.003206425945873676
RH_1_lag1,0.0030501065692470106
T1_lag1,0.0030131989661996692
is_weekend,0.002990913275856042
RH_8_lag1,0.0029732350727179717
RH_3_lag1,0.0028800714315916076
living_temp_x_rh,0.0028542161162088283
RH_7_lag1,0.0028319359444118368
T5_lag1,0.002823695808133232
RH_5_lag1,0.0027901674980318476
kitchen_temp_x_rh,0.0026874197649954298
RH_4_lag1,0.0024399450905405093
indoor_rh_mean,0.002288734300084212
